Date,Valore,Description,Categoria,Tag,Fissa?,Commenti,M
14 mag 2023,"€ 28,00",Sushi,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"5,00"
14 mag 2023,"€ 0,99",Amazon Papà,Altro,Regali&SpeseAltrui,FALSE,,"5,00"
15 mag 2023,"€ 35,50",Caffe,GestioneCasa,Cibo&ProdottiCasa,FALSE,,"5,00"
15 mag 2023,"€ 12,32",Regalo Fra,Altro,Regali&SpeseAltrui,FALSE,,"5,00"
15 mag 2023,"€ 9,99",La Fisica Del Diavolo Libro,Shopping,Libri,FALSE,,"5,00"
16 mag 2023,"€ 3,49",Dott,Trasporti,Mobilità&Micromobilità,FALSE,,"5,00"
16 mag 2023,"€ 4,00",Birra Jumping Jester,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"5,00"
17 mag 2023,"€ 48,74",Spesa,GestioneCasa,Cibo&ProdottiCasa,TRUE,,"5,00"
17 mag 2023,"€ 9,00",Preservativi,CuraPersonale,Oggetti per la cura del corpo,FALSE,,"5,00"
18 mag 2023,"€ 10,70",Tabbacco cartine e filtri,Fumo,Sigarette,FALSE,,"5,00"
19 mag 2023,"€ 33,00",Cena Sacra Birra,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"5,00"
19 mag 2023,"€ 3,50",Acqua Sacra Birra,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"5,00"
20 mag 2023,"€ 45,00",Gasolio C3,Trasporti,Carburante Auto,TRUE,,"5,00"
21 mag 2023,"€ 3,00",Gelato,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"5,00"
21 mag 2023,"€ 2,40",Caffé,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"5,00"
21 mag 2023,"€ 10,50",Spritz Pastis,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"5,00"
21 mag 2023,"€ 5,64",Enjoy,Trasporti,Mobilità&Micromobilità,FALSE,,"5,00"
21 mag 2023,"€ 12,26",Spesa Olimpiadi Alcoliche,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"5,00"
22 mag 2023,"€ 25,80",Scottex,GestioneCasa,Cibo&ProdottiCasa,TRUE,,"5,00"
22 mag 2023,"€ 24,50",Cena Indiano,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"5,00"
24 mag 2023,"€ 2,50",Birra Valentino,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"5,00"
24 mag 2023,"€ 10,00",Wawa,Fumo,Sigarette,FALSE,,"5,00"
24 mag 2023,"€ 5,33",Spesa serata Pippo,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"5,00"
25 mag 2023,"€ 51,51",Bolletta Fastweb,GestioneCasa,Bollette & Utenze,TRUE,,"5,00"
25 mag 2023,"€ 45,00",Psicologo,CuraPersonale,Psicologo,FALSE,,"5,00"
25 mag 2023,"€ 17,50",Birrerira ROL,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"5,00"
26 mag 2023,"€ 556,00",Affitto Giugno 2023,GestioneCasa,Affitto e Riscaldamento,TRUE,,"5,00"
26 mag 2023,"€ 124,00",Regalo Mamma,Altro,Regali&SpeseAltrui,FALSE,,"5,00"
26 mag 2023,"€ 1,30",Caffé,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"5,00"
26 mag 2023,"€ 1,50",Biglietto Regalo Mamma,Altro,Regali&SpeseAltrui,FALSE,,"5,00"
26 mag 2023,"€ 3,50",Pass Dott,Trasporti,Mobilità&Micromobilità,FALSE,,"5,00"
26 mag 2023,"€ 10,00",Wawa,Fumo,Sigarette,FALSE,,"5,00"
26 mag 2023,"€ 11,80",Kebab - Kebabo,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"5,00"
26 mag 2023,"€ 2,50",Birra Tipografia,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"5,00"
27 mag 2023,"€ 6,70",Tabacco,Fumo,Sigarette,FALSE,,"5,00"
27 mag 2023,"€ 19,00",Cena Crocca,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"5,00"
27 mag 2023,"€ 12,00",Biglietti Museo Cinema,IntrattenimentoEVacanze,Cinema&Cultura&Eventi,FALSE,,"5,00"
28 mag 2023,"€ 4,90",Colazione Mole,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"5,00"
28 mag 2023,"€ 15,80",Pranzo Montaditos,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"5,00"
28 mag 2023,"€ 15,00",Caffé Shakerato - Clarissa Bar,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"5,00"
28 mag 2023,"€ 8,50",Birra Bangladino,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"5,00"
29 mag 2023,"€ 29,50",Spesa (con parecchie birre),GestioneCasa,Cibo&ProdottiCasa,TRUE,,"5,00"
29 mag 2023,"€ 32,00",Aperitivo Piazza Carducci,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"5,00"
29 mag 2023,"€ 20,50",Pizza Rustico,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"5,00"
31 mag 2023,"€ 13,00",Gasolio C3,Trasporti,Carburante Auto,TRUE,,"5,00"
31 mag 2023,"€ 24,70",Magliette Defqon,Shopping,Vestiti e Abbigliamento,FALSE,,"5,00"
31 mag 2023,"€ 5,00",Aperitivo con Spo,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"5,00"
31 mag 2023,"€ 12,93",Spesa per Isola D'Elba,IntrattenimentoEVacanze,Viaggi,FALSE,,"5,00"
31 mag 2023,"€ 37,25",Cena Mamacita,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"5,00"
1 giu 2023,"€ 0,60",Commisioni Giroconto,Altro,Commissioni,FALSE,,"6,00"
3 giu 2023,"€ 35,00",costume,Shopping,Vestiti e Abbigliamento,FALSE,,"6,00"
4 giu 2023,"€ 9,99",Posate da campeggio ,Shopping,Oggettistica,FALSE,,"6,00"
4 giu 2023,"€ 278,24",Totale costo vacanza Isola D'Elba,IntrattenimentoEVacanze,Viaggi,FALSE,,"6,00"
5 giu 2023,"€ 10,00",Regalo Baby Ortalda,Altro,Regali&SpeseAltrui,FALSE,,"6,00"
5 giu 2023,"€ 1,92",Acqua Aereoporto,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
6 giu 2023,"€ 3,14",Birra Albergo Inghilterra,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
6 giu 2023,"€ 2,90",Chai Latte Triangle,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
7 giu 2023,"€ 2,38",Caffe Triangle,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
8 giu 2023,"€ 0,99",Libro Papà,Altro,Regali&SpeseAltrui,FALSE,,"6,00"
8 giu 2023,"€ 2,39",Caffe,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
8 giu 2023,"€ 78,69",Gicca Land Rover,Shopping,Vestiti e Abbigliamento,FALSE,,"6,00"
8 giu 2023,"€ 37,29",Lego Batman,Shopping,Oggettistica,FALSE,,"6,00"
8 giu 2023,"€ 4,43",Birra Aeroporto,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
9 giu 2023,"€ 70,99",Zaino Dechatlong,Shopping,Oggettistica,FALSE,,"6,00"
9 giu 2023,"€ 11,00",Aroma Siga Elettronica,Fumo,E-Cig,FALSE,,"6,00"
9 giu 2023,"€ 11,65",Spesa Tigotà,CuraPersonale,Oggetti per la cura del corpo,FALSE,,"6,00"
9 giu 2023,"€ 21,00",Aperitivo,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
9 giu 2023,"€ 7,50",Drink Steve,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
9 giu 2023,"€ 10,00",Drink Milly,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
10 giu 2023,"€ 14,61",Benzina Moto,Trasporti,Carburante Moto,FALSE,,"6,00"
10 giu 2023,"€ 3,50",Spremuta Ceva,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
10 giu 2023,"€ 14,24",Adattatore multipresa,Shopping,Oggettistica,FALSE,,"6,00"
10 giu 2023,"€ 6,70",Tabacco,Fumo,Sigarette,FALSE,,"6,00"
10 giu 2023,"€ 31,00",Birre None,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
10 giu 2023,"€ 26,00",Cena None,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"6,00"
10 giu 2023,"€ 3,60",Caramelle None,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
11 giu 2023,"€ 12,63",Spesa,GestioneCasa,Cibo&ProdottiCasa,TRUE,,"6,00"
11 giu 2023,"€ 17,50",Pranzo Baloon,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"6,00"
11 giu 2023,"€ 5,00",Granita Mercato Centrale,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
11 giu 2023,"€ 3,00",Coca cola Quadrilatero,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
11 giu 2023,"€ 7,00",Dott x 2,Trasporti,Mobilità&Micromobilità,FALSE,,"6,00"
11 giu 2023,"€ 4,20",Acqua Imbarchino,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
11 giu 2023,"€ 3,20",Patatine,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
12 giu 2023,"€ 1,99",Libro Papà,Altro,Regali&SpeseAltrui,FALSE,,"6,00"
12 giu 2023,"€ 79,00",Revisione C3,Trasporti,Documenti e Interventi Auto,TRUE,,"6,00"
13 giu 2023,"€ 23,98",Pantaloncini Dechatlon,Shopping,Vestiti e Abbigliamento,FALSE,,"6,00"
13 giu 2023,"€ 20,51",Roba papà su amazon,Altro,Regali&SpeseAltrui,FALSE,,"6,00"
13 giu 2023,"€ 11,00",Aperitivo Aldo's,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
14 giu 2023,"€ 7,99",Libro Amazon,Shopping,Libri,FALSE,,"6,00"
14 giu 2023,"€ 15,00",Soldi per Grigliata Pacci,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
14 giu 2023,"€ 8,99",Resistenze sigaretta elettronica,Fumo,E-Cig,FALSE,,"6,00"
14 giu 2023,"€ 2,50",Gelatio Florio,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
15 giu 2023,"€ 9,00",Aperitivo con Laura,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
15 giu 2023,"€ 25,00",Baladen,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
15 giu 2023,"€ 9,00",Drink mago di Oz,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
16 giu 2023,"€ 3,58",Birre OK Market,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
16 giu 2023,"€ 15,00",Drink Milly,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
16 giu 2023,"€ 45,00",Psicologo,CuraPersonale,Psicologo,FALSE,,"6,00"
17 giu 2023,"€ 5,00",Sigarette,Fumo,Sigarette,FALSE,,"6,00"
17 giu 2023,"€ 1,00",Acqua Rena,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
17 giu 2023,"€ 9,00",Dolcetto Monesiglio,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
17 giu 2023,"€ 6,00",Shot Monesiglio,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
18 giu 2023,"€ 16,34",Benzina Moto,Trasporti,Carburante Moto,FALSE,,"6,00"
18 giu 2023,"€ 33,01",Gasolio C3,Trasporti,Carburante Auto,TRUE,,"6,00"
19 giu 2023,"€ 15,00",Spritz,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
19 giu 2023,"€ 10,00",Carnet,Trasporti,Mobilità&Micromobilità,FALSE,,"6,00"
19 giu 2023,"€ 3,50",Dott,Trasporti,Mobilità&Micromobilità,FALSE,,"6,00"
19 giu 2023,"€ 34,15",Sushi Laura,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"6,00"
19 giu 2023,"€ 8,80",Tabacco e Cartine,Fumo,Sigarette,FALSE,,"6,00"
19 giu 2023,"€ 116,18",Bolletta Luce&Gas mar-apr,GestioneCasa,Bollette & Utenze,TRUE,,"6,00"
20 giu 2023,"€ 7,08",Dechatlon,Shopping,Oggettistica,FALSE,,"6,00"
20 giu 2023,"€ 10,00",Wawa,Fumo,Sigarette,FALSE,,"6,00"
21 giu 2023,"€ 0,60",Commisioni Giroconto,Altro,Commissioni,FALSE,,"6,00"
21 giu 2023,"€ 9,99",Dechatlon,Shopping,Oggettistica,FALSE,,"6,00"
25 giu 2023,"€ 37,90",Fastweb,GestioneCasa,Bollette & Utenze,TRUE,,"6,00"
27 giu 2023,"€ 556,00",Affitto Luglio 2023,GestioneCasa,Affitto e Riscaldamento,TRUE,,"6,00"
27 giu 2023,"€ 444,16",Spesa Totale Defqon,IntrattenimentoEVacanze,Viaggi,FALSE,,"6,00"
27 giu 2023,"€ 2,00",Copia Chiave Cortile,GestioneCasa,Cibo&ProdottiCasa,FALSE,,"6,00"
27 giu 2023,"€ 10,00",Fototessere per carta identità,CuraPersonale,Documenti&Richieste,TRUE,,"6,00"
27 giu 2023,"€ 54,31",Spesa,GestioneCasa,Cibo&ProdottiCasa,TRUE,,"6,00"
28 giu 2023,"€ 9,20",Tabacco e Cartine,Fumo,Sigarette,FALSE,,"6,00"
28 giu 2023,"€ 10,00",Preservativi,CuraPersonale,Oggetti per la cura del corpo,FALSE,,"6,00"
28 giu 2023,"€ 4,00",Birre Bangal,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
28 giu 2023,"€ 23,20",Cena Greco,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"6,00"
29 giu 2023,"€ 9,30",Colazione Laura,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
29 giu 2023,"€ 3,10",Cartine e filtri,Fumo,Sigarette,FALSE,,"6,00"
29 giu 2023,"€ 27,00",Richiesta CIE,CuraPersonale,Documenti&Richieste,TRUE,,"6,00"
29 giu 2023,"€ 3,50",Aperitivo Rena,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
29 giu 2023,"€ 13,00",Gasoglio C3,Trasporti,Carburante Auto,TRUE,,"6,00"
29 giu 2023,"€ 14,43",Benzina Moto,Trasporti,Carburante Moto,FALSE,,"6,00"
29 giu 2023,"€ 3,00",Prosecco Rena,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
29 giu 2023,"€ 6,00",Birra Campo Sportivo,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
30 giu 2023,"€ 17,00",Pizza Maruziello,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"6,00"
30 giu 2023,"€ 10,17",Spesa Rokkafest,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"6,00"
30 giu 2023,"€ 49,90",Abbonamento Amazon Prime,AbbonamentiEIscrizioni,Amazon Prime,TRUE,,"6,00"
1 lug 2023,"€ 7,00",Hambuger Rokkafest,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"7,00"
1 lug 2023,"€ 4,00",Birra Rokkafest,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"7,00"
1 lug 2023,"€ 20,00",Cambio Soldi Rokkafest,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"7,00"
1 lug 2023,"€ 6,20",Focaccia per Mare,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"7,00"
1 lug 2023,"€ 21,00",Aperitivo Rena,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"7,00"
2 lug 2023,"€ 7,43",Foto Google ,Shopping,Oggettistica,FALSE,,"7,00"
2 lug 2023,"€ 14,55",Cartoleria,GestioneCasa,Cibo&ProdottiCasa,FALSE,,"7,00"
3 lug 2023,"€ 32,00",Abbonamento Palestra,AbbonamentiEIscrizioni,Palestra,TRUE,,"7,00"
4 lug 2023,"€ 5,95",Spesa (frutta),GestioneCasa,Cibo&ProdottiCasa,TRUE,,"7,00"
4 lug 2023,"€ 81,40",Cena Mercato centrale,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"7,00"
5 lug 2023,"€ 7,00",Tabacco,Fumo,Sigarette,FALSE,,"7,00"
5 lug 2023,"€ 29,00",Sushi,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"7,00"
5 lug 2023,"€ 10,00",Aperitivo Coguaro,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"7,00"
6 lug 2023,"€ 329,00",Stampante 3D,Shopping,Oggettistica,FALSE,,"7,00"
6 lug 2023,"€ 5,00",Sigarette,Fumo,Sigarette,FALSE,,"7,00"
6 lug 2023,"€ 14,75",Aperitivo Coguaro,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"7,00"
6 lug 2023,"€ 37,00",Cena Aformisma,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"7,00"
7 lug 2023,"€ 13,00",Aperitivo Rena,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"7,00"
7 lug 2023,"€ 97,50",Cena Cucco,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"7,00"
8 lug 2023,"€ 6,92",Acqua e Enigmistica,GestioneCasa,Cibo&ProdottiCasa,FALSE,,"7,00"
8 lug 2023,"€ 1,70",Enigmistica,Shopping,Oggettistica,FALSE,,"7,00"
8 lug 2023,"€ 23,00",Spiaggia,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"7,00"
8 lug 2023,"€ 36,00",Aperitivo Rena e Prunetto,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"7,00"
8 lug 2023,"€ 10,00",Regalo Oana,Altro,Regali&SpeseAltrui,FALSE,,"7,00"
9 lug 2023,"€ 5,40",Brioches rena,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"7,00"
9 lug 2023,"€ 36,50",Black Horse,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"7,00"
9 lug 2023,"€ 30,01",Gasolio C3,Trasporti,Carburante Auto,FALSE,,"7,00"
9 lug 2023,"€ 27,40",Sushi,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"7,00"
9 lug 2023,"€ 19,99",Filamento Stampante,Shopping,Oggettistica,FALSE,,"7,00"
10 lug 2023,"€ 92,62","Spesa, swiffer e filtri caraffa",GestioneCasa,Cibo&ProdottiCasa,TRUE,,"7,00"
11 lug 2023,"€ 17,00",Aperitivo (coguaro e lingotto),IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"7,00"
13 lug 2023,"€ 45,00",Psicologo,CuraPersonale,Psicologo,FALSE,,"7,00"
13 lug 2023,"€ 32,50",Trasferta Bologna,Altro,Lavoro,TRUE,,"7,00"
14 lug 2023,"€ 14,00",Aperitivo Quello Buono,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"7,00"
14 lug 2023,"€ 21,00",Cena Rustico,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"7,00"
14 lug 2023,"€ 3,50",Dott,Trasporti,Mobilità&Micromobilità,FALSE,,"7,00"
14 lug 2023,"€ 8,50",Piadina Bologna,Altro,Lavoro,TRUE,,"7,00"
15 lug 2023,"€ 27,50",Cena Osteria Fiat,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"7,00"
15 lug 2023,"€ 2,50",Coca Cola Valentino,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"7,00"
15 lug 2023,"€ 13,50",Kebab Horas,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"7,00"
15 lug 2023,"€ 95,78",Costo festa compleanno,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"7,00"
16 lug 2023,"€ 12,00",Birra Comala,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"7,00"
16 lug 2023,"€ 43,23",Spesa,GestioneCasa,Cibo&ProdottiCasa,TRUE,,"7,00"
16 lug 2023,"€ 5,00",Colazione,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"7,00"
18 lug 2023,"€ 11,00","Tabacco, Cartine e Filtri",Fumo,Sigarette,FALSE,,"7,00"
18 lug 2023,"€ 55,50",Medicine Emicrania,CuraPersonale,Medicinali,TRUE,,"7,00"
19 lug 2023,"€ 30,00",Iscrizione Protezione Civile,AbbonamentiEIscrizioni,ProtezioneCivile,TRUE,,"7,00"
19 lug 2023,"€ 12,00",Pizza Just Eat,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"7,00"
20 lug 2023,"€ 11,60",Gelati e Granite,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"7,00"
20 lug 2023,"€ 28,00",Cena Spirito Santo,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"7,00"
20 lug 2023,"€ 9,80",Carta Vetro e Attack,Shopping,Oggettistica,FALSE,,"7,00"
21 lug 2023,"€ 24,00",Drink Milly e Rena,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"7,00"
22 lug 2023,"€ 16,80",Benzina Moto,Trasporti,Carburante Moto,FALSE,,"7,00"
22 lug 2023,"€ 6,00",Mojito Bergeggi,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"7,00"
23 lug 2023,"€ 5,80",Birra Mazut,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"7,00"
23 lug 2023,"€ 15,13",Benzina Moto Mamma,Altro,Regali&SpeseAltrui,FALSE,,"7,00"
23 lug 2023,"€ 15,44",Benzina Moto,Trasporti,Carburante Moto,FALSE,,"7,00"
24 lug 2023,"€ 10,10",Tabacco Cartine e Filtri,Fumo,Sigarette,FALSE,,"7,00"
24 lug 2023,"€ 13,70",Bevande Ospedale e Gleato,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"7,00"
25 lug 2023,"€ 37,90",Bolletta Fastweb Luglio,GestioneCasa,Bollette & Utenze,TRUE,,"7,00"
25 lug 2023,"€ 15,44",Benzina Moto,Trasporti,Carburante Moto,FALSE,,"7,00"
25 lug 2023,"€ 1,19",Coca cola per mamma,Altro,Regali&SpeseAltrui,FALSE,,"7,00"
25 lug 2023,"€ 109,99",Orologio Garmin,Shopping,Oggettistica,FALSE,,"7,00"
26 lug 2023,"€ 2,60",Caffé Autogrill,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"7,00"
26 lug 2023,"€ 556,00",Affitto Agosto,GestioneCasa,Affitto e Riscaldamento,TRUE,,"7,00"
27 lug 2023,"€ 18,00",Drink Steve,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"7,00"
27 lug 2023,"€ 2,30",Latte,GestioneCasa,Cibo&ProdottiCasa,FALSE,,"7,00"
28 lug 2023,"7,2",Aperitivo Rena,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"7,00"
28 lug 2023,"€ 5,00",Birra e Acqua Prato,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"7,00"
28 lug 2023,"€ 8,00",Panini Saliceto,IntrattenimentoEVacanze,Ristoranti e Delivery,FALSE,,"7,00"
28 lug 2023,"€ 40,00",Birre Saliceto,IntrattenimentoEVacanze,Bar & Drink & Serate,FALSE,,"7,00"
