Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Transfer,Current,2025-01-06 11:55:45,2025-01-06 11:55:45,To pocket EUR Salvadanaio from EUR,-0.47,0,EUR,COMPLETED,675.07
Card Payment,Current,2025-01-05 20:33:12,2025-01-06 13:07:35,Mercato Centrale,-2.9,0,EUR,COMPLETED,672.17
Card Payment,Current,2025-01-02 8:49:09,2025-01-06 13:08:01,Amazon,-209.99,0,EUR,COMPLETED,462.18
Transfer,Current,2025-01-07 8:36:47,2025-01-07 8:36:47,To pocket EUR Salvadanaio from EUR,-0.01,0,EUR,COMPLETED,462.17
Card Payment,Current,2025-01-06 11:55:45,2025-01-07 13:02:08,Pam Panorama,-16.53,0,EUR,COMPLETED,445.64
Card Payment,Current,2025-01-07 8:36:47,2025-01-08 3:55:30,Amazon,-2.99,0,EUR,COMPLETED,442.65
Transfer,Current,2025-01-08 23:05:09,2025-01-08 23:05:09,To pocket EUR Salvadanaio from EUR,-0.01,0,EUR,COMPLETED,442.64
Transfer,Current,2025-01-09 7:36:12,2025-01-09 7:36:12,To pocket EUR Salvadanaio from EUR,-0.69,0,EUR,COMPLETED,441.95
Card Payment,Current,2025-01-08 23:05:09,2025-01-10 6:00:12,Amazon,-2.99,0,EUR,COMPLETED,438.96
Card Payment,Current,2025-01-09 7:36:12,2025-01-10 6:13:33,Amazon,-9.31,0,EUR,COMPLETED,429.65
Transfer,Current,2025-01-10 15:53:03,2025-01-10 15:53:03,To pocket EUR Salvadanaio from EUR,-0.98,0,EUR,COMPLETED,428.67
Transfer,Current,2025-01-11 1:37:25,2025-01-11 1:37:25,To pocket EUR Salvadanaio from EUR,-25,0,EUR,COMPLETED,403.67
Card Payment,Current,2025-01-10 15:53:03,2025-01-11 14:44:59,Pam Panorama,-8.02,0,EUR,COMPLETED,395.65
Transfer,Current,2025-01-11 19:04:27,2025-01-11 19:04:27,To pocket EUR Salvadanaio from EUR,-0.11,0,EUR,COMPLETED,395.54
Transfer,Current,2025-01-11 22:48:27,2025-01-11 22:48:27,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,394.54
Transfer,Current,2025-01-12 1:28:37,2025-01-12 1:28:37,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,393.54
Transfer,Current,2025-01-12 1:49:18,2025-01-12 1:49:18,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,392.54
Transfer,Current,2025-01-12 3:19:49,2025-01-12 3:19:49,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,391.54
Card Payment,Current,2025-01-11 22:48:26,2025-01-12 13:05:58,Oratorio,-25,0,EUR,COMPLETED,366.54
Card Payment,Current,2025-01-12 3:19:48,2025-01-13 7:12:52,Sita Vinc,-25,0,EUR,COMPLETED,341.54
Card Payment,Current,2025-01-11 19:04:27,2025-01-13 13:24:50,Pam Panorama,-15.89,0,EUR,COMPLETED,325.65
Card Payment,Current,2025-01-12 1:28:37,2025-01-13 13:26:04,Feed Srls,-14,0,EUR,COMPLETED,311.65
Card Payment,Current,2025-01-12 1:49:18,2025-01-13 13:26:10,Feed Srls,-14,0,EUR,COMPLETED,297.65
Transfer,Current,2025-01-13 13:38:31,2025-01-13 13:38:31,To pocket EUR Salvadanaio from EUR,-0.01,0,EUR,COMPLETED,297.64
Card Payment,Current,2025-01-13 13:38:31,2025-01-14 5:13:30,Amazon,-2.99,0,EUR,COMPLETED,294.65
Transfer,Current,2025-01-17 15:54:35,2025-01-17 15:54:35,To pocket EUR Salvadanaio from EUR,-0.2,0,EUR,COMPLETED,294.45
Transfer,Current,2025-01-17 16:13:07,2025-01-17 16:13:07,To pocket EUR Salvadanaio from EUR,-0.28,0,EUR,COMPLETED,294.17
Transfer,Current,2025-01-17 21:43:51,2025-01-17 21:43:51,To pocket EUR Salvadanaio from EUR,-0.12,0,EUR,COMPLETED,294.05
Transfer,Current,2025-01-18 1:38:19,2025-01-18 1:38:19,To pocket EUR Salvadanaio from EUR,-25,0,EUR,COMPLETED,269.05
Card Payment,Current,2025-01-17 16:13:06,2025-01-18 13:15:42,Pam Panorama,-9.72,0,EUR,COMPLETED,259.33
Card Payment,Current,2025-01-17 15:54:34,2025-01-18 13:16:50,Tabaccheria,-11.8,0,EUR,COMPLETED,247.53
Transfer,Current,2025-01-18 18:21:29,2025-01-18 18:21:29,To pocket EUR Salvadanaio from EUR,-0.07,0,EUR,COMPLETED,247.46
Transfer,Current,2025-01-18 20:39:16,2025-01-18 20:39:16,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,246.46
Transfer,Current,2025-01-19 0:16:42,2025-01-19 0:16:42,To pocket EUR Salvadanaio from EUR,-0.66,0,EUR,COMPLETED,245.8
Card Payment,Current,2025-01-17 21:43:51,2025-01-19 5:00:32,Amazon,-18.88,0,EUR,COMPLETED,226.92
Card Payment,Current,2025-01-19 0:16:41,2025-01-19 7:12:44,Cooltra,-4.34,0,EUR,COMPLETED,222.58
Transfer,Current,2025-01-19 13:13:17,2025-01-19 13:13:17,To pocket EUR Salvadanaio from EUR,-0.01,0,EUR,COMPLETED,222.57
Card Payment,Current,2025-01-18 20:39:16,2025-01-19 14:34:29,The 1870 Huntsman Pub,-60,0,EUR,COMPLETED,162.57
Transfer,Current,2025-01-19 15:02:38,2025-01-19 15:02:38,To pocket EUR Salvadanaio from EUR,-0.38,0,EUR,COMPLETED,162.19
Transfer,Current,2025-01-19 16:27:01,2025-01-19 16:27:01,To pocket EUR Salvadanaio from EUR,-0.1,0,EUR,COMPLETED,162.09
Transfer,Current,2025-01-19 19:06:15,2025-01-19 19:06:15,To pocket EUR Salvadanaio from EUR,-0.24,0,EUR,COMPLETED,161.85
Card Payment,Current,2025-01-19 13:13:16,2025-01-20 4:03:53,Amazon,-2.99,0,EUR,COMPLETED,158.86
Card Payment,Current,2025-01-18 18:21:28,2025-01-20 11:05:50,ALDI,-13.93,0,EUR,COMPLETED,144.93
Card Payment,Current,2025-01-19 15:02:37,2025-01-20 11:06:02,Donbury House,-26.62,0,EUR,COMPLETED,118.31
Card Payment,Current,2025-01-19 16:27:00,2025-01-20 14:21:57,La Rinascente,-29.9,0,EUR,COMPLETED,88.41
Card Payment,Current,2025-01-19 19:06:15,2025-01-20 14:22:35,Pam Panorama,-7.76,0,EUR,COMPLETED,80.65
Transfer,Current,2025-01-24 16:52:54,2025-01-24 16:52:54,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,79.65
Transfer,Current,2025-01-25 1:38:52,2025-01-25 1:38:52,To pocket EUR Salvadanaio from EUR,-25,0,EUR,COMPLETED,54.65
Transfer,Current,2025-01-25 8:12:57,2025-01-25 8:12:57,To pocket EUR Salvadanaio from EUR,-0.01,0,EUR,COMPLETED,54.64
Transfer,Current,2025-01-25 8:14:04,2025-01-25 8:14:04,To pocket EUR Salvadanaio from EUR,-0.01,0,EUR,COMPLETED,54.63
Deposit,Current,2025-01-25 9:28:02,2025-01-25 9:28:02,Payment from PALLOMO MATTEO,1000,0,EUR,COMPLETED,1054.63
Card Payment,Current,2025-01-24 16:51:57,2025-01-25 12:59:30,Carrefour,-18,0,EUR,COMPLETED,1036.63
Transfer,Current,2025-01-25 18:39:46,2025-01-25 18:39:46,To pocket EUR Salvadanaio from EUR,-0.24,0,EUR,COMPLETED,1036.39
Card Payment,Current,2025-01-25 8:12:56,2025-01-26 5:00:27,Amazon,-5.99,0,EUR,COMPLETED,1030.4
Card Payment,Current,2025-01-25 8:14:03,2025-01-26 5:00:28,Amazon,-0.99,0,EUR,COMPLETED,1029.41
Transfer,Current,2025-01-26 11:23:47,2025-01-26 11:23:47,To pocket EUR Salvadanaio from EUR,-0.25,0,EUR,COMPLETED,1029.16
Transfer,Current,2025-01-26 16:46:14,2025-01-26 16:46:14,To pocket EUR Salvadanaio from EUR,-0.01,0,EUR,COMPLETED,1029.15
Transfer,Current,2025-01-26 16:58:37,2025-01-26 16:58:37,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,1028.15
Transfer,Current,2025-01-26 17:21:15,2025-01-26 17:21:15,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,1027.15
Card Payment,Current,2025-01-26 17:21:15,2025-01-27 9:54:23,Il Mulo,-24,0,EUR,COMPLETED,1003.15
Card Payment,Current,2025-01-26 16:46:13,2025-01-27 10:53:29,La Casa de las Carcasas,-9.99,0,EUR,COMPLETED,993.16
Card Payment,Current,2025-01-26 11:23:46,2025-01-27 14:19:34,Pam Panorama,-4.75,0,EUR,COMPLETED,988.41
Card Payment,Current,2025-01-25 18:39:45,2025-01-27 14:19:40,Pam Panorama,-45.76,0,EUR,COMPLETED,942.65
Card Payment,Current,2025-01-26 16:58:37,2025-01-27 14:20:31,Intimissimi,-20,0,EUR,COMPLETED,922.65
Transfer,Current,2025-01-28 17:35:04,2025-01-28 17:35:04,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,921.65
Card Payment,Current,2025-01-28 17:35:04,2025-01-29 13:37:23,Angelo Parrucchiere,-15,0,EUR,COMPLETED,906.65
Transfer,Current,2025-02-01 2:01:48,2025-02-01 2:01:48,To pocket EUR Salvadanaio from EUR,-25,0,EUR,COMPLETED,881.65
Transfer,Current,2025-02-01 9:08:34,2025-02-01 9:08:34,To pocket EUR Salvadanaio from EUR,-0.8,0,EUR,COMPLETED,880.85
Transfer,Current,2025-02-01 18:17:26,2025-02-01 18:17:26,To pocket EUR Salvadanaio from EUR,-0.04,0,EUR,COMPLETED,880.81
Transfer,Current,2025-02-01 19:56:08,2025-02-01 19:56:08,To pocket EUR Salvadanaio from EUR,-0.01,0,EUR,COMPLETED,880.8
Transfer,Current,2025-02-01 22:32:21,2025-02-01 22:32:21,To pocket EUR Salvadanaio from EUR,-0.5,0,EUR,COMPLETED,880.3
Card Payment,Current,2025-02-01 9:08:34,2025-02-02 4:18:03,Amazon,-16.2,0,EUR,COMPLETED,864.1
Card Payment,Current,2025-02-01 22:32:21,2025-02-02 12:55:01,El Centenario,-32.5,0,EUR,COMPLETED,831.6
Card Payment,Current,2025-02-01 19:56:08,2025-02-02 14:33:16,Amazon,-12.99,0,EUR,COMPLETED,818.61
Transfer,Current,2025-02-02 16:12:54,2025-02-02 16:12:54,To pocket EUR Salvadanaio from EUR,-0.05,0,EUR,COMPLETED,818.56
Card Payment,Current,2025-02-01 18:17:26,2025-02-03 9:47:57,ALDI,-5.96,0,EUR,COMPLETED,812.6
Card Payment,Current,2025-02-02 16:12:54,2025-02-03 17:08:23,Pam Panorama,-48.95,0,EUR,COMPLETED,763.65
Transfer,Current,2025-02-03 22:43:23,2025-02-03 22:43:23,To pocket EUR Salvadanaio from EUR,-0.6,0,EUR,COMPLETED,763.05
Card Payment,Current,2025-02-03 22:43:23,2025-02-04 5:57:48,Rockburger,-40.4,0,EUR,COMPLETED,722.65
Transfer,Current,2025-02-04 10:31:41,2025-02-04 10:31:42,Transfer from NOEMI BIANCO,15,0,EUR,COMPLETED,737.65
Transfer,Current,2025-02-04 18:22:21,2025-02-04 18:22:21,To pocket EUR Salvadanaio from EUR,-0.64,0,EUR,COMPLETED,737.01
Card Payment,Current,2025-02-04 18:22:20,2025-02-05 6:00:59,Ok Market Millesimo,-6.36,0,EUR,COMPLETED,730.65
Transfer,Current,2025-02-05 17:57:42,2025-02-05 17:57:42,To pocket EUR Salvadanaio from EUR,-0.11,0,EUR,COMPLETED,730.54
Transfer,Current,2025-02-05 18:12:11,2025-02-05 18:12:11,To pocket EUR Salvadanaio from EUR,-0.5,0,EUR,COMPLETED,730.04
Card Payment,Current,2025-02-05 17:57:42,2025-02-06 12:02:00,Onestmarket,-5.89,0,EUR,COMPLETED,724.15
Transfer,Current,2025-02-06 14:10:35,2025-02-06 14:10:35,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,723.15
Card Payment,Current,2025-02-05 18:12:11,2025-02-06 15:27:15,Legou Mercatone,-1.5,0,EUR,COMPLETED,721.65
Transfer,Current,2025-02-06 21:52:22,2025-02-06 21:52:22,To pocket EUR Salvadanaio from EUR,-0.6,0,EUR,COMPLETED,721.05
Card Payment,Current,2025-02-06 21:52:21,2025-02-07 14:34:21,Sushi Time,-59.4,0,EUR,COMPLETED,661.65
Card Payment,Current,2025-02-06 14:10:34,2025-02-07 15:05:46,Farmacia San Nazaro,-13,0,EUR,COMPLETED,648.65
Transfer,Current,2025-02-07 23:02:00,2025-02-07 23:02:00,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,647.65
Transfer,Current,2025-02-08 1:39:20,2025-02-08 1:39:20,To pocket EUR Salvadanaio from EUR,-25,0,EUR,COMPLETED,622.65
Transfer,Current,2025-02-08 11:21:32,2025-02-08 11:21:32,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,621.65
Card Payment,Current,2025-02-07 23:01:59,2025-02-08 15:46:31,Pantarei Ristorante,-25,0,EUR,COMPLETED,596.65
Transfer,Current,2025-02-08 18:50:26,2025-02-08 18:50:26,To pocket EUR Salvadanaio from EUR,-0.71,0,EUR,COMPLETED,595.94
Card Payment,Current,2025-02-08 11:21:31,2025-02-09 13:02:52,Pasticceria Pastorino,-21,0,EUR,COMPLETED,574.94
Transfer,Current,2025-02-09 17:09:41,2025-02-09 17:09:41,To pocket EUR Salvadanaio from EUR,-0.33,0,EUR,COMPLETED,574.61
Transfer,Current,2025-02-10 12:17:49,2025-02-10 12:17:49,To pocket EUR Salvadanaio from EUR,-0.01,0,EUR,COMPLETED,574.6
Transfer,Current,2025-02-10 13:17:44,2025-02-10 13:17:44,To pocket EUR Salvadanaio from EUR,-0.3,0,EUR,COMPLETED,574.3
Card Payment,Current,2025-02-09 17:09:41,2025-02-10 13:28:03,Pam Panorama,-31.67,0,EUR,COMPLETED,542.63
Card Payment,Current,2025-02-08 18:50:25,2025-02-10 13:28:21,Eni,-45,0,EUR,COMPLETED,497.63
Card Payment,Current,2025-02-10 12:17:48,2025-02-11 6:48:01,Amazon,-11.99,0,EUR,COMPLETED,485.64
Card Payment,Current,2025-02-10 13:17:43,2025-02-11 11:11:25,Tabaccheria di Martorana Barbara,-7.7,0,EUR,COMPLETED,477.94
Transfer,Current,2025-02-12 8:59:40,2025-02-12 8:59:40,To pocket EUR Salvadanaio from EUR,-0.75,0,EUR,COMPLETED,477.19
Transfer,Current,2025-02-12 12:00:24,2025-02-12 12:00:24,To pocket EUR Salvadanaio from EUR,-0.03,0,EUR,COMPLETED,477.16
Transfer,Current,2025-02-12 14:57:47,2025-02-12 14:57:47,To pocket EUR Salvadanaio from EUR,-0.39,0,EUR,COMPLETED,476.77
Transfer,Current,2025-02-12 15:47:27,2025-02-12 15:47:27,To pocket EUR Salvadanaio from EUR,-0.01,0,EUR,COMPLETED,476.76
Transfer,Current,2025-02-12 19:58:28,2025-02-12 19:58:28,To pocket EUR Salvadanaio from EUR,-0.5,0,EUR,COMPLETED,476.26
Deposit,Current,2025-02-12 20:04:45,2025-02-12 20:04:46,Payment from PALLOMO MATTEO,1500,0,EUR,COMPLETED,1976.26
Card Payment,Current,2025-02-12 12:00:23,2025-02-13 4:17:01,Amazon,-38.97,0,EUR,COMPLETED,1937.29
Card Payment,Current,2025-02-12 14:57:46,2025-02-13 6:33:27,EasyJet,-282.61,0,EUR,COMPLETED,1654.68
Card Payment,Current,2025-02-12 15:47:26,2025-02-13 13:47:12,Milan Airports Shop,-69.99,0,EUR,COMPLETED,1584.69
Card Payment,Current,2025-02-12 19:58:28,2025-02-13 13:48:47,Tabaccheria,-3.5,0,EUR,COMPLETED,1581.19
Card Payment,Current,2025-02-12 8:59:39,2025-02-13 16:54:57,Www.softsolutions,-17.25,0,EUR,COMPLETED,1563.94
Transfer,Current,2025-02-13 23:51:50,2025-02-13 23:51:50,To pocket EUR Salvadanaio from EUR,-0.01,0,EUR,COMPLETED,1563.93
Transfer,Current,2025-02-14 8:39:04,2025-02-14 8:39:04,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,1562.93
Transfer,Current,2025-02-14 16:02:54,2025-02-14 16:02:54,To pocket EUR Salvadanaio from EUR,-0.05,0,EUR,COMPLETED,1562.88
Transfer,Current,2025-02-15 1:41:19,2025-02-15 1:41:19,To pocket EUR Salvadanaio from EUR,-25,0,EUR,COMPLETED,1537.88
Card Payment,Current,2025-02-13 23:51:50,2025-02-15 5:54:54,Amazon,-2.99,0,EUR,COMPLETED,1534.89
Card Payment,Current,2025-02-14 16:02:54,2025-02-15 15:10:15,Pam Panorama,-35.95,0,EUR,COMPLETED,1498.94
Transfer,Current,2025-02-15 18:37:35,2025-02-15 18:37:35,To pocket EUR Salvadanaio from EUR,-0.36,0,EUR,COMPLETED,1498.58
Transfer,Current,2025-02-15 22:11:16,2025-02-15 22:11:16,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,1497.58
Transfer,Current,2025-02-15 23:04:13,2025-02-15 23:04:13,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,1496.58
Card Payment,Current,2025-02-14 8:39:04,2025-02-16 4:31:27,Pila Snowland,-58,0,EUR,COMPLETED,1438.58
Transfer,Current,2025-02-16 8:47:36,2025-02-16 8:47:36,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,1437.58
Transfer,Current,2025-02-16 14:42:09,2025-02-16 14:42:09,To pocket EUR Salvadanaio from EUR,-0.25,0,EUR,COMPLETED,1437.33
Card Payment,Current,2025-02-15 18:37:35,2025-02-16 14:59:21,Punto Simply,-9.64,0,EUR,COMPLETED,1427.69
Card Payment,Current,2025-02-16 8:47:36,2025-02-17 9:50:49,Bonade' Silvana,-6,0,EUR,COMPLETED,1421.69
Card Payment,Current,2025-02-15 22:11:16,2025-02-17 13:25:23,Celebrity Di Arvat Pao,-42,0,EUR,COMPLETED,1379.69
Card Payment,Current,2025-02-16 14:42:09,2025-02-17 14:56:39,Pam Panorama,-35.75,0,EUR,COMPLETED,1343.94
Card Payment,Current,2025-02-15 23:04:13,2025-02-17 16:11:31,B63,-14,0,EUR,COMPLETED,1329.94
Transfer,Current,2025-02-19 18:49:16,2025-02-19 18:49:16,To pocket EUR Salvadanaio from EUR,-0.96,0,EUR,COMPLETED,1328.98
Card Payment,Current,2025-02-19 18:48:28,2025-02-20 6:27:51,Carrefour,-7.04,0,EUR,COMPLETED,1321.94
Transfer,Current,2025-02-21 15:39:00,2025-02-21 15:39:00,To pocket EUR Salvadanaio from EUR,-0.67,0,EUR,COMPLETED,1321.27
Transfer,Current,2025-02-21 15:50:17,2025-02-21 15:50:17,To pocket EUR Salvadanaio from EUR,-0.6,0,EUR,COMPLETED,1320.67
Transfer,Current,2025-02-21 20:43:57,2025-02-21 20:43:57,To pocket EUR Salvadanaio from EUR,-0.44,0,EUR,COMPLETED,1320.23
Transfer,Current,2025-02-21 23:13:15,2025-02-21 23:13:15,To pocket EUR Salvadanaio from EUR,-0.9,0,EUR,COMPLETED,1319.33
Transfer,Current,2025-02-21 23:15:28,2025-02-21 23:15:28,To pocket EUR Salvadanaio from EUR,-0.3,0,EUR,COMPLETED,1319.03
Transfer,Current,2025-02-22 1:36:20,2025-02-22 1:36:20,To pocket EUR Salvadanaio from EUR,-25,0,EUR,COMPLETED,1294.03
Card Payment,Current,2025-02-21 15:50:16,2025-02-22 6:45:15,Worldpay,-697.4,0,EUR,COMPLETED,596.63
Card Payment,Current,2025-02-21 23:13:15,2025-02-22 6:47:46,Cooltra,-3.1,0,EUR,COMPLETED,593.53
Card Payment,Current,2025-02-21 20:43:57,2025-02-22 14:41:31,Esselunga,-19.56,0,EUR,COMPLETED,573.97
Card Payment,Current,2025-02-21 15:38:59,2025-02-22 14:41:37,Pam Panorama,-42.33,0,EUR,COMPLETED,531.64
Card Payment,Current,2025-02-21 23:15:28,2025-02-22 14:42:46,Tabaccheria,-7.7,0,EUR,COMPLETED,523.94
Transfer,Current,2025-02-22 18:33:14,2025-02-22 18:33:14,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,522.94
Transfer,Current,2025-02-22 20:19:05,2025-02-22 20:19:05,To pocket EUR Salvadanaio from EUR,-0.52,0,EUR,COMPLETED,522.42
Transfer,Current,2025-02-23 0:11:51,2025-02-23 0:11:51,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,521.42
Transfer,Current,2025-02-23 1:28:16,2025-02-23 1:28:16,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,520.42
Transfer,Current,2025-02-23 2:09:19,2025-02-23 2:09:19,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,519.42
Transfer,Current,2025-02-23 3:12:57,2025-02-23 3:12:57,To pocket EUR Salvadanaio from EUR,-0.21,0,EUR,COMPLETED,519.21
Card Payment,Current,2025-02-22 20:19:04,2025-02-23 4:24:30,Glovo,-42.48,0,EUR,COMPLETED,476.73
Card Payment,Current,2025-02-23 3:12:57,2025-02-23 11:51:20,Cooltra,-2.79,0,EUR,COMPLETED,473.94
Transfer,Current,2025-02-23 18:47:12,2025-02-23 18:47:12,To pocket EUR Salvadanaio from EUR,-0.8,0,EUR,COMPLETED,473.14
Transfer,Current,2025-02-23 19:29:39,2025-02-23 19:29:39,To pocket EUR Salvadanaio from EUR,-0.24,0,EUR,COMPLETED,472.9
Card Payment,Current,2025-02-22 18:32:26,2025-02-24 7:12:09,Carrefour,-15,0,EUR,COMPLETED,457.9
Card Payment,Current,2025-02-23 0:11:51,2025-02-24 13:26:07,Olding,-8,0,EUR,COMPLETED,449.9
Card Payment,Current,2025-02-23 18:47:11,2025-02-24 13:30:03,Giunti al Punto Librerie,-13.2,0,EUR,COMPLETED,436.7
Card Payment,Current,2025-02-23 19:29:38,2025-02-24 16:52:02,Pam Panorama,-13.76,0,EUR,COMPLETED,422.94
Card Payment,Current,2025-02-23 1:28:16,2025-02-24 16:52:53,Feed Srls,-21,0,EUR,COMPLETED,401.94
Card Payment,Current,2025-02-23 2:09:18,2025-02-24 16:53:00,Feed Srls,-21,0,EUR,COMPLETED,380.94
Transfer,Current,2025-02-25 23:07:48,2025-02-25 23:07:48,To pocket EUR Salvadanaio from EUR,-0.01,0,EUR,COMPLETED,380.93
Card Payment,Current,2025-02-25 23:07:48,2025-02-27 4:05:45,Amazon,-6.99,0,EUR,COMPLETED,373.94
Deposit,Current,2025-02-28 1:54:33,2025-02-28 1:54:33,Payment from PALLOMO MATTEO,1000,0,EUR,COMPLETED,1373.94
Transfer,Current,2025-02-28 22:53:25,2025-02-28 22:53:25,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,1372.94
Transfer,Current,2025-03-01 2:01:59,2025-03-01 2:01:59,To pocket EUR Salvadanaio from EUR,-25,0,EUR,COMPLETED,1347.94
Card Payment,Current,2025-02-28 22:53:25,2025-03-01 14:12:58,Maior Service,-7,0,EUR,COMPLETED,1340.94
Transfer,Current,2025-03-01 20:47:58,2025-03-01 20:47:58,Transfer to SIMONE SARDO,-242.03,0,EUR,COMPLETED,1098.91
Transfer,Current,2025-03-01 22:04:14,2025-03-01 22:04:14,To pocket EUR Salvadanaio from EUR,-0.5,0,EUR,COMPLETED,1098.41
Transfer,Current,2025-03-01 22:05:47,2025-03-01 22:05:48,Transfer from SIMONE SARDO,33.75,0,EUR,COMPLETED,1132.16
Card Payment,Current,2025-03-01 22:04:14,2025-03-02 8:14:08,Sum Amiri Snc,-67.5,0,EUR,COMPLETED,1064.66
Transfer,Current,2025-03-02 9:51:39,2025-03-02 9:51:39,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,1063.66
Transfer,Current,2025-03-02 12:09:57,2025-03-02 12:09:57,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,1062.66
Transfer,Current,2025-03-02 17:48:10,2025-03-02 17:48:10,Transfer from SIMONE SARDO,15,0,EUR,COMPLETED,1077.66
Transfer,Current,2025-03-02 22:26:46,2025-03-02 22:26:46,To pocket EUR Salvadanaio from EUR,-1,0,EUR,COMPLETED,1076.66
Exchange,Current,2025-03-03 9:00:58,2025-03-03 9:00:58,Exchanged to GBP,-250,0,EUR,COMPLETED,826.66
Card Payment,Current,2025-03-02 22:26:46,2025-03-03 13:17:47,Yamamoto,-33,0,EUR,COMPLETED,793.66
Card Payment,Current,2025-03-02 12:09:57,2025-03-03 13:21:09,Infinity Fast Food.ste,-14,0,EUR,COMPLETED,779.66
Card Payment,Current,2025-03-02 9:51:39,2025-03-03 14:23:29,Becojl,-34,0,EUR,COMPLETED,745.66
Transfer,Current,2025-03-03 16:19:42,2025-03-03 16:19:42,To pocket EUR Salvadanaio from EUR,-0.5,0,EUR,COMPLETED,745.16
Transfer,Current,2025-03-03 17:14:57,2025-03-03 17:14:57,To pocket EUR Salvadanaio from EUR,-0.4,0,EUR,COMPLETED,744.76
Transfer,Current,2025-03-03 18:09:46,2025-03-03 18:09:46,To pocket EUR Salvadanaio from EUR,-0.3,0,EUR,COMPLETED,744.46
Transfer,Current,2025-03-03 19:44:02,2025-03-03 19:44:02,To pocket EUR Salvadanaio from EUR,-0.7,0,EUR,COMPLETED,743.76
