,Type,Date,Amount,Description,Labels
0,expense,2025-01-01,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
1,expense,2025-01-01,-0.5,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
2,expense,2025-01-01,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
3,expense,2025-01-01,-13.99,Amazon,['AcquistiOnline']
4,expense,2025-02-01,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
5,expense,2025-02-01,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
6,expense,2025-01-01,-70.0,Rifugio Cascina Miera,['Pub&Locali&Eventi']
7,expense,2025-02-01,-0.19,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
8,expense,2025-02-01,-1.81,Pam Panorama,['SpesaCasa']
9,expense,2025-01-01,-7.5,Tabaccheria,['Fumo']
10,expense,2025-02-01,-18.0,Lavasecco Delfino Bia.,['Generic']
11,expense,2025-04-01,-25.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
12,expense,2025-04-01,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
13,expense,2025-04-01,-0.1,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
14,expense,2025-04-01,-2.99,Amazon,['AcquistiOnline']
15,expense,2025-04-01,-36.9,Ayo,['Generic']
16,expense,2025-05-01,-0.1,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
17,expense,2025-06-01,-0.47,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
18,expense,2025-05-01,-2.9,Mercato Centrale,['Ristoranti&Delivery']
19,expense,2025-02-01,-209.99,Amazon,['AcquistiOnline']
20,expense,2025-07-01,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
21,expense,2025-06-01,-16.53,Pam Panorama,['SpesaCasa']
22,expense,2025-07-01,-2.99,Amazon,['AcquistiOnline']
23,expense,2025-08-01,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
24,expense,2025-09-01,-0.69,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
25,expense,2025-08-01,-2.99,Amazon,['AcquistiOnline']
26,expense,2025-09-01,-9.31,Amazon,['AcquistiOnline']
27,expense,2025-10-01,-0.98,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
28,expense,2025-11-01,-25.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
29,expense,2025-10-01,-8.02,Pam Panorama,['SpesaCasa']
30,expense,2025-11-01,-0.11,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
31,expense,2025-11-01,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
32,expense,2025-12-01,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
33,expense,2025-12-01,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
34,expense,2025-12-01,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
35,expense,2025-11-01,-25.0,Oratorio,['Generic']
36,expense,2025-12-01,-25.0,Sita Vinc,['Generic']
37,expense,2025-11-01,-15.89,Pam Panorama,['SpesaCasa']
38,expense,2025-12-01,-14.0,Feed Srls,['Generic']
39,expense,2025-12-01,-14.0,Feed Srls,['Generic']
40,expense,2025-01-13,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
41,expense,2025-01-13,-2.99,Amazon,['AcquistiOnline']
42,expense,2025-01-17,-0.2,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
43,expense,2025-01-17,-0.28,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
44,expense,2025-01-17,-0.12,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
45,expense,2025-01-18,-25.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
46,expense,2025-01-17,-9.72,Pam Panorama,['SpesaCasa']
47,expense,2025-01-17,-11.8,Tabaccheria,['Fumo']
48,expense,2025-01-18,-0.07,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
49,expense,2025-01-18,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
50,expense,2025-01-19,-0.66,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
51,expense,2025-01-17,-18.88,Amazon,['AcquistiOnline']
52,expense,2025-01-19,-4.34,Cooltra,['Movimento']
53,expense,2025-01-19,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
54,expense,2025-01-18,-60.0,The 1870 Huntsman Pub,['Pub&Locali&Eventi']
55,expense,2025-01-19,-0.38,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
56,expense,2025-01-19,-0.1,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
57,expense,2025-01-19,-0.24,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
58,expense,2025-01-19,-2.99,Amazon,['AcquistiOnline']
59,expense,2025-01-18,-13.93,ALDI,['SpesaCasa']
60,expense,2025-01-19,-26.62,Donbury House,['Ristoranti&Delivery']
61,expense,2025-01-19,-29.9,La Rinascente,['Shopping']
62,expense,2025-01-19,-7.76,Pam Panorama,['SpesaCasa']
63,expense,2025-01-24,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
64,expense,2025-01-25,-25.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
65,expense,2025-01-25,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
66,expense,2025-01-25,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
67,income,2025-01-25,1000.0,Payment from PALLOMO MATTEO,"['Ricevuti', 'Giroconto']"
68,expense,2025-01-24,-18.0,Carrefour,['SpesaCasa']
69,expense,2025-01-25,-0.24,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
70,expense,2025-01-25,-5.99,Amazon,['AcquistiOnline']
71,expense,2025-01-25,-0.99,Amazon,['AcquistiOnline']
72,expense,2025-01-26,-0.25,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
73,expense,2025-01-26,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
74,expense,2025-01-26,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
75,expense,2025-01-26,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
76,expense,2025-01-26,-24.0,Il Mulo,['Pub&Locali&Eventi']
77,expense,2025-01-26,-9.99,La Casa de las Carcasas,['Generic']
78,expense,2025-01-26,-4.75,Pam Panorama,['SpesaCasa']
79,expense,2025-01-25,-45.76,Pam Panorama,['SpesaCasa']
80,expense,2025-01-26,-20.0,Intimissimi,['Shopping']
81,expense,2025-01-28,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
82,expense,2025-01-28,-15.0,Angelo Parrucchiere,['CuraPersonale']
83,expense,2025-01-02,-25.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
84,expense,2025-01-02,-0.8,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
85,expense,2025-01-02,-0.04,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
86,expense,2025-01-02,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
87,expense,2025-01-02,-0.5,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
88,expense,2025-01-02,-16.2,Amazon,['AcquistiOnline']
89,expense,2025-01-02,-32.5,El Centenario,['Ristoranti&Delivery']
90,expense,2025-01-02,-12.99,Amazon,['AcquistiOnline']
91,expense,2025-02-02,-0.05,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
92,expense,2025-01-02,-5.96,ALDI,['SpesaCasa']
93,expense,2025-02-02,-48.95,Pam Panorama,['SpesaCasa']
94,expense,2025-03-02,-0.6,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
95,expense,2025-03-02,-40.4,Rockburger,['Ristoranti&Delivery']
96,income,2025-04-02,15.0,Transfer from NOEMI BIANCO,['Ricevuti']
97,expense,2025-04-02,-0.64,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
98,expense,2025-04-02,-6.36,Ok Market Millesimo,['SpesaCasa']
99,expense,2025-05-02,-0.11,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
100,expense,2025-05-02,-0.5,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
101,expense,2025-05-02,-5.89,Onestmarket,['Pub&Locali&Eventi']
102,expense,2025-06-02,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
103,expense,2025-05-02,-1.5,Legou Mercatone,['Generic']
104,expense,2025-06-02,-0.6,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
105,expense,2025-06-02,-59.4,Sushi Time,['Ristoranti&Delivery']
106,expense,2025-06-02,-13.0,Farmacia San Nazaro,['CuraPersonale']
107,expense,2025-07-02,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
108,expense,2025-08-02,-25.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
109,expense,2025-08-02,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
110,expense,2025-07-02,-25.0,Pantarei Ristorante,['Ristoranti&Delivery']
111,expense,2025-08-02,-0.71,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
112,expense,2025-08-02,-21.0,Pasticceria Pastorino,['Pub&Locali&Eventi']
113,expense,2025-09-02,-0.33,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
114,expense,2025-10-02,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
115,expense,2025-10-02,-0.3,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
116,expense,2025-09-02,-31.67,Pam Panorama,['SpesaCasa']
117,expense,2025-08-02,-45.0,Eni,['Movimento']
118,expense,2025-10-02,-11.99,Amazon,['AcquistiOnline']
119,expense,2025-10-02,-7.7,Tabaccheria di Martorana Barbara,['Fumo']
120,expense,2025-12-02,-0.75,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
121,expense,2025-12-02,-0.03,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
122,expense,2025-12-02,-0.39,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
123,expense,2025-12-02,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
124,expense,2025-12-02,-0.5,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
125,income,2025-12-02,1500.0,Payment from PALLOMO MATTEO,"['Ricevuti', 'Giroconto']"
126,expense,2025-12-02,-38.97,Amazon,['AcquistiOnline']
127,expense,2025-12-02,-282.61,EasyJet,['Viaggi']
128,expense,2025-12-02,-69.99,Milan Airports Shop,['Viaggi']
129,expense,2025-12-02,-3.5,Tabaccheria,['Fumo']
130,expense,2025-12-02,-17.25,Www.softsolutions,['Generic']
131,expense,2025-02-13,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
132,expense,2025-02-14,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
133,expense,2025-02-14,-0.05,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
134,expense,2025-02-15,-25.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
135,expense,2025-02-13,-2.99,Amazon,['AcquistiOnline']
136,expense,2025-02-14,-35.95,Pam Panorama,['SpesaCasa']
137,expense,2025-02-15,-0.36,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
138,expense,2025-02-15,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
139,expense,2025-02-15,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
140,expense,2025-02-14,-58.0,Pila Snowland,['Hobby']
141,expense,2025-02-16,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
142,expense,2025-02-16,-0.25,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
143,expense,2025-02-15,-9.64,Punto Simply,['Generic']
144,expense,2025-02-16,-6.0,Bonade' Silvana,['Generic']
145,expense,2025-02-15,-42.0,Celebrity Di Arvat Pao,['Generic']
146,expense,2025-02-16,-35.75,Pam Panorama,['SpesaCasa']
147,expense,2025-02-15,-14.0,B63,['Generic']
148,expense,2025-02-19,-0.96,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
149,expense,2025-02-19,-7.04,Carrefour,['SpesaCasa']
150,expense,2025-02-21,-0.67,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
151,expense,2025-02-21,-0.6,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
152,expense,2025-02-21,-0.44,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
153,expense,2025-02-21,-0.9,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
154,expense,2025-02-21,-0.3,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
155,expense,2025-02-22,-25.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
156,expense,2025-02-21,-697.4,Worldpay,['Generic']
157,expense,2025-02-21,-3.1,Cooltra,['Movimento']
158,expense,2025-02-21,-19.56,Esselunga,['SpesaCasa']
159,expense,2025-02-21,-42.33,Pam Panorama,['SpesaCasa']
160,expense,2025-02-21,-7.7,Tabaccheria,['Fumo']
161,expense,2025-02-22,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
162,expense,2025-02-22,-0.52,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
163,expense,2025-02-23,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
164,expense,2025-02-23,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
165,expense,2025-02-23,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
166,expense,2025-02-23,-0.21,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
167,expense,2025-02-22,-42.48,Glovo,['Ristoranti&Delivery']
168,expense,2025-02-23,-2.79,Cooltra,['Movimento']
169,expense,2025-02-23,-0.8,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
170,expense,2025-02-23,-0.24,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
171,expense,2025-02-22,-15.0,Carrefour,['SpesaCasa']
172,expense,2025-02-23,-8.0,Olding,['Generic']
173,expense,2025-02-23,-13.2,Giunti al Punto Librerie,['Hobby']
174,expense,2025-02-23,-13.76,Pam Panorama,['SpesaCasa']
175,expense,2025-02-23,-21.0,Feed Srls,['Generic']
176,expense,2025-02-23,-21.0,Feed Srls,['Generic']
177,expense,2025-02-25,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
178,expense,2025-02-25,-6.99,Amazon,['AcquistiOnline']
179,income,2025-02-28,1000.0,Payment from PALLOMO MATTEO,"['Ricevuti', 'Giroconto']"
180,expense,2025-02-28,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
181,expense,2025-01-03,-25.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
182,expense,2025-02-28,-7.0,Maior Service,['Generic']
183,expense,2025-01-03,-242.03,Transfer to SIMONE SARDO,['Mandati']
184,expense,2025-01-03,-0.5,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
185,income,2025-01-03,33.75,Transfer from SIMONE SARDO,['Ricevuti']
186,expense,2025-01-03,-67.5,Sum Amiri Snc,['Generic']
187,expense,2025-02-03,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
188,expense,2025-02-03,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
189,income,2025-02-03,15.0,Transfer from SIMONE SARDO,['Ricevuti']
190,expense,2025-02-03,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
191,expense,2025-03-03,-250.0,Exchanged to GBP,['Giroconto']
192,expense,2025-02-03,-33.0,Yamamoto,['Shopping']
193,expense,2025-02-03,-14.0,Infinity Fast Food.ste,['Ristoranti&Delivery']
194,expense,2025-02-03,-34.0,Becojl,['Generic']
195,expense,2025-03-03,-0.5,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
196,expense,2025-03-03,-0.4,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
197,expense,2025-03-03,-0.3,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
198,expense,2025-03-03,-0.7,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
199,expense,2025-03-03,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
200,income,2025-04-03,1000.0,Payment from PALLOMO MATTEO,"['Ricevuti', 'Giroconto']"
201,expense,2025-03-03,-14.6,SATAP,['Movimento']
202,expense,2025-03-03,-26.3,MU Finest Italian Burger,['Generic']
203,expense,2025-03-03,-2.7,BAR IMBARCHI,['Pub&Locali&Eventi']
204,expense,2025-03-03,-1.5,ITP,['Generic']
205,expense,2025-03-03,-549.99,Premier Inn,['Generic']
206,expense,2025-07-03,-0.3,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
207,expense,2025-07-03,-103.29,Eni,['Movimento']
208,expense,2025-07-03,-0.71,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
209,expense,2025-07-03,-0.71,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
210,expense,2025-07-03,-0.3,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
211,expense,2025-07-03,-0.28,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
212,expense,2025-08-03,-25.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
213,expense,2025-07-03,-7.7,Dufry,['Viaggi']
214,expense,2025-07-03,-51.72,Pam Panorama,['SpesaCasa']
215,expense,2025-07-03,-40.02,Eni,['Movimento']
216,expense,2025-07-03,-33.7,Farmacia Madonna Dell',['CuraPersonale']
217,expense,2025-08-03,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
218,expense,2025-09-03,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
219,expense,2025-10-03,-0.06,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
220,expense,2025-09-03,-31.0,Carrefour,['SpesaCasa']
221,expense,2025-08-03,-15.0,Pam Panorama,['SpesaCasa']
222,expense,2025-10-03,-5.94,Amazon,['AcquistiOnline']
223,expense,2025-03-13,-0.81,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
224,expense,2025-03-13,-36.19,Pam Panorama,['SpesaCasa']
225,expense,2025-03-14,-240.0,Transfer to Revolut user,['Mandati']
226,expense,2025-03-14,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
227,expense,2025-03-14,-0.5,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
228,expense,2025-03-15,-25.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
229,expense,2025-03-14,-87.99,Mercato Centrale,['Ristoranti&Delivery']
230,expense,2025-03-14,-21.5,Mercato Centrale,['Ristoranti&Delivery']
231,expense,2025-03-16,-0.9,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
232,expense,2025-03-16,-0.3,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
233,expense,2025-03-16,-0.5,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
234,expense,2025-03-16,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
235,expense,2025-03-16,-3.1,Cooltra,['Movimento']
236,expense,2025-03-16,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
237,expense,2025-03-16,-0.71,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
238,expense,2025-03-16,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
239,expense,2025-03-16,-42.99,H&M,['Shopping']
240,expense,2025-03-16,-9.99,ABYstyle,['Shopping']
241,expense,2025-03-16,-7.7,Tabaccheria,['Fumo']
242,expense,2025-03-16,-3.5,Tabaccheria,['Fumo']
243,expense,2025-03-16,-5.0,Da Enzo Di Bozkus Enve,['Generic']
244,expense,2025-03-16,-36.29,Capri,['Generic']
245,expense,2025-03-17,-0.37,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
246,expense,2025-03-18,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
247,expense,2025-03-17,-16.63,Amazon,['AcquistiOnline']
248,expense,2025-03-18,-0.03,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
249,expense,2025-03-18,-6.99,Amazon,['AcquistiOnline']
250,expense,2025-03-18,-37.97,Pam Panorama,['SpesaCasa']
251,expense,2025-03-19,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
252,expense,2025-03-19,-7.99,Amazon,['AcquistiOnline']
253,expense,2025-03-21,-0.68,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
254,expense,2025-03-22,-25.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
255,expense,2025-03-21,-39.32,Pam Panorama,['SpesaCasa']
256,expense,2025-03-22,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
257,expense,2025-03-22,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
258,expense,2025-03-22,-8.0,Trive Group,['Generic']
259,expense,2025-03-22,-11.0,Open Baladin,['Pub&Locali&Eventi']
260,expense,2025-03-26,-0.5,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
261,expense,2025-03-26,-3.5,Panf̩,['Generic']
262,expense,2025-03-27,-0.2,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
263,expense,2025-03-27,-0.88,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
264,expense,2025-03-27,-13.8,I Love Poke Casalecchi,['Ristoranti&Delivery']
265,expense,2025-03-27,-15.12,Mondadori,['Hobby']
266,expense,2025-03-28,-0.3,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
267,expense,2025-03-29,-25.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
268,expense,2025-03-28,-18.7,Himi,['Ristoranti&Delivery']
269,expense,2025-03-29,-10.0,To pocket EUR Trading Poket from EUR,"['Ristoranti&Delivery', 'Investimenti&Risparmi']"
270,expense,2025-03-29,-100.0,To Bold Stack portfolio,['Investimenti&Risparmi']
271,income,2025-03-29,10.0,Pocket Withdrawal,['Giroconto']
272,income,2025-03-29,1000.0,Payment from PALLOMO MATTEO,"['Ricevuti', 'Giroconto']"
273,expense,2025-03-29,-100.0,To investment account,['Investimenti&Risparmi']
274,expense,2025-03-29,-10.0,To Bold Stack portfolio,['Investimenti&Risparmi']
275,expense,2025-03-29,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
276,expense,2025-03-29,-0.11,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
277,expense,2025-03-29,-5.89,Cooltra,['Movimento']
278,expense,2025-03-30,-0.63,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
279,expense,2025-03-30,-0.78,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
280,expense,2025-03-30,-0.5,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
281,expense,2025-03-30,-38.22,Just Eat,['Ristoranti&Delivery']
282,expense,2025-03-31,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
283,expense,2025-03-30,-40.37,Pam Panorama,['SpesaCasa']
284,expense,2025-03-29,-15.0,Vale20 Srl 2,['Generic']
285,expense,2025-03-30,-7.5,Gelateria La Romana T.,['Ristoranti&Delivery']
286,expense,2025-03-31,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
287,expense,2025-01-04,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
288,expense,2025-03-31,-24.99,Amazon,['AcquistiOnline']
289,expense,2025-03-31,-4.99,Amazon,['AcquistiOnline']
290,expense,2025-01-04,-4.99,Amazon,['AcquistiOnline']
291,expense,2025-02-04,-0.82,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
292,income,2025-02-04,4.99,Amazon,['AcquistiOnline']
293,income,2025-02-04,4.99,Amazon,['AcquistiOnline']
294,expense,2025-02-04,-5.18,Carrefour,['SpesaCasa']
295,expense,2025-04-04,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
296,expense,2025-05-04,-25.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
297,expense,2025-05-04,-10.0,To Bold Stack portfolio,['Investimenti&Risparmi']
298,expense,2025-04-04,-21.0,Pasticceria Pastorino,['Pub&Locali&Eventi']
299,expense,2025-05-04,-0.5,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
300,expense,2025-05-04,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
301,expense,2025-06-04,-0.5,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
302,expense,2025-05-04,-22.5,Pasticceria Pastorino,['Pub&Locali&Eventi']
303,expense,2025-05-04,-80.0,Jolly Pub,['Pub&Locali&Eventi']
304,expense,2025-06-04,-10.5,Gavio,['Generic']
305,expense,2025-08-04,-0.43,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
306,expense,2025-08-04,-31.57,Glovo,['Ristoranti&Delivery']
307,expense,2025-10-04,-0.45,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
308,expense,2025-10-04,-78.55,Nexi,['Generic']
309,expense,2025-11-04,-0.16,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
310,expense,2025-11-04,-0.5,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
311,expense,2025-12-04,-25.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
312,expense,2025-11-04,-28.5,Supersonic,['Ristoranti&Delivery']
313,expense,2025-12-04,-10.0,To Bold Stack portfolio,['Investimenti&Risparmi']
314,expense,2025-12-04,-0.89,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
315,expense,2025-11-04,-3.84,PENNY,['SpesaCasa']
316,expense,2025-12-04,-0.15,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
317,expense,2025-12-04,-27.85,Khosravi Maryam,['Generic']
318,expense,2025-04-13,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
319,expense,2025-04-13,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
320,expense,2025-12-04,-38.11,Pam Panorama,['SpesaCasa']
321,expense,2025-04-13,-14.0,Pastis,['Pub&Locali&Eventi']
322,expense,2025-04-13,-20.0,Pastis Wip Work,['Pub&Locali&Eventi']
323,expense,2025-04-16,-0.64,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
324,expense,2025-04-16,-8.36,Carrefour,['SpesaCasa']
325,expense,2025-04-18,-0.01,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
326,expense,2025-04-18,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
327,expense,2025-04-18,-1.0,To pocket EUR Salvadanaio from EUR,['Investimenti&Risparmi']
